False Positive Rate,True Positive Rate
0,0
0,0.002673797
0,0.021390374
0,0.029411765
0,0.061497326
0.000966184,0.061497326
0.000966184,0.06684492
0.001932367,0.072192513
0.001932367,0.07486631
0.001932367,0.080213904
0.002898551,0.088235294
0.002898551,0.080213904
0.004830918,0.088235294
0.004830918,0.098930481
0.004830918,0.104278075
0.004830918,0.106951872
0.005797101,0.106951872
0.005797101,0.112299465
0.006763285,0.112299465
0.006763285,0.120320856
0.007729469,0.120320856
0.007729469,0.171122995
0.008695652,0.171122995
0.008695652,0.179144385
0.010628019,0.181818182
0.010628019,0.179144385
0.012560386,0.181818182
0.012560386,0.184491979
0.01352657,0.184491979
0.01352657,0.189839572
0.016425121,0.189839572
0.016425121,0.200534759
0.016425121,0.205882353
0.017391304,0.205882353
0.017391304,0.211229947
0.018357488,0.245989305
0.018357488,0.232620321
0.018357488,0.22459893
0.018357488,0.211229947
0.020289855,0.245989305
0.020289855,0.254010695
0.021256039,0.254010695
0.021256039,0.262032086
0.023188406,0.262032086
0.023188406,0.264705882
0.025120773,0.264705882
0.025120773,0.27540107
0.026086957,0.27540107
0.026086957,0.278074866
0.02705314,0.28342246
0.02705314,0.278074866
0.029951691,0.286096257
0.029951691,0.28342246
0.032850242,0.286096257
0.032850242,0.288770053
0.033816425,0.288770053
0.033816425,0.294117647
0.034782609,0.294117647
0.035748792,0.296791444
0.035748792,0.304812834
0.036714976,0.304812834
0.036714976,0.312834225
0.04057971,0.312834225
0.04057971,0.315508021
0.043478261,0.326203209
0.043478261,0.320855615
0.044444444,0.326203209
0.044444444,0.331550802
0.045410628,0.331550802
0.045410628,0.336898396
0.046376812,0.336898396
0.046376812,0.339572193
0.047342995,0.339572193
0.047342995,0.35026738
0.049275362,0.35026738
0.049275362,0.352941176
0.050241546,0.35828877
0.050241546,0.352941176
0.051207729,0.35828877
0.052173913,0.360962567
0.05410628,0.360962567
0.05410628,0.371657754
0.057971014,0.371657754
0.057971014,0.374331551
0.058937198,0.377005348
0.060869565,0.377005348
0.060869565,0.395721925
0.061835749,0.398395722
0.061835749,0.395721925
0.062801932,0.401069519
0.062801932,0.398395722
0.063768116,0.401069519
0.063768116,0.403743316
0.066666667,0.403743316
0.066666667,0.406417112
0.06763285,0.406417112
0.06763285,0.409090909
0.068599034,0.409090909
0.068599034,0.411764706
0.070531401,0.411764706
0.070531401,0.414438503
0.072463768,0.414438503
0.072463768,0.419786096
0.074396135,0.422459893
0.074396135,0.419786096
0.075362319,0.422459893
0.075362319,0.435828877
0.07826087,0.435828877
0.07826087,0.438502674
0.079227053,0.438502674
0.079227053,0.441176471
0.080193237,0.441176471
0.080193237,0.443850267
0.082125604,0.443850267
0.082125604,0.446524064
